The Way Out of the Labyrinth
  x   y
---------
| 0 | 0 |
| 1 | 0 |
| 1 | 1 |
| 1 | 2 |
| 1 | 3 |
| 1 | 4 |
| 1 | 5 |
| 1 | 6 |
| 0 | 6 |
| 0 | 7 |
| 1 | 7 |
| 2 | 7 |
| 2 | 8 |
| 3 | 8 |
| 4 | 8 |
| 4 | 9 |
| 4 | 10 |
| 4 | 11 |
| 5 | 11 |
| 6 | 11 |
| 6 | 12 |
| 6 | 13 |
| 7 | 13 |
| 8 | 13 |
| 9 | 13 |
| 10 | 13 |
| 10 | 14 |
| 11 | 14 |
| 11 | 15 |
| 12 | 15 |
| 13 | 15 |
| 14 | 15 |
| 14 | 14 |
| 15 | 14 |
| 15 | 15 |
| 15 | 16 |
| 15 | 17 |
| 15 | 18 |
| 16 | 18 |
| 16 | 17 |
| 16 | 16 |
| 16 | 15 |
| 16 | 14 |
| 17 | 14 |
| 18 | 14 |
| 19 | 14 |
| 20 | 14 |
| 21 | 14 |
| 21 | 15 |
| 21 | 16 |
| 21 | 17 |
| 21 | 18 |
| 21 | 19 |
| 22 | 19 |
| 23 | 19 |
| 23 | 20 |
| 23 | 19 |
| 24 | 19 |
| 25 | 19 |
| 26 | 19 |
| 27 | 19 |
| 27 | 20 |
| 27 | 21 |
| 27 | 22 |
| 28 | 22 |
| 29 | 22 |
| 29 | 21 |
| 30 | 21 |
| 31 | 21 |
| 32 | 21 |
| 33 | 21 |
| 33 | 22 |
| 33 | 23 |
| 33 | 24 |
| 34 | 24 |

You collect 12 golds!

